
================ PAGE 1 ==================
[441.9, 347.8, 466.2, 360.1] Font='Type3 (8 0 R)' Size=11.0 Color=0 | 'from'
[469.4, 347.8, 532.4, 360.0] Font='Type3 (11 0 R)' Size=11.0 Color=0 | '15/06/2026'
[535.6, 347.8, 550.1, 360.1] Font='Type3 (8 0 R)' Size=11.0 Color=0 | 'for'
[553.3, 347.8, 559.5, 360.1] Font='Type3 (8 0 R)' Size=11.0 Color=0 | 'a'
[49.7, 365.0, 83.1, 377.4] Font='Type3 (8 0 R)' Size=11.0 Color=0 | 'period'
[86.2, 365.0, 96.9, 377.4] Font='Type3 (8 0 R)' Size=11.0 Color=0 | 'of'
[100.0, 365.0, 109.7, 377.2] Font='Type3 (11 0 R)' Size=11.0 Color=0 | '3'
[109.7, 365.0, 150.4, 377.4] Font='Type3 (10 0 R)' Size=11.0 Color=0 | 'months'
[150.4, 365.0, 153.5, 377.2] Font='Type3 (9 0 R)' Size=11.0 Color=0 | '.'
[49.7, 403.3, 71.8, 415.6] Font='Type3 (8 0 R)' Size=11.0 Color=0 | 'This'
[78.7, 403.3, 87.1, 415.6] Font='Type3 (8 0 R)' Size=11.0 Color=0 | 'is'
[94.0, 403.3, 100.2, 415.6] Font='Type3 (8 0 R)' Size=11.0 Color=0 | 'a'
[107.1, 403.3, 122.9, 415.6] Font='Type3 (8 0 R)' Size=11.0 Color=0 | 'full'
[123.0, 403.3, 128.0, 415.5] Font='Type3 (9 0 R)' Size=11.0 Color=0 | '-'
[128.0, 403.3, 150.3, 415.6] Font='Type3 (8 0 R)' Size=11.0 Color=0 | 'time'
[157.2, 403.3, 208.7, 415.6] Font='Type3 (8 0 R)' Size=11.0 Color=0 | 'internship'
[215.6, 403.3, 280.7, 415.6] Font='Type3 (8 0 R)' Size=11.0 Color=0 | 'engagement'
[287.6, 403.3, 309.3, 415.6] Font='Type3 (8 0 R)' Size=11.0 Color=0 | 'with'
[316.2, 403.3, 374.8, 415.6] Font='Type3 (8 0 R)' Size=11.0 Color=0 | 'Techsprout'
[381.7, 403.3, 392.2, 415.6] Font='Type3 (8 0 R)' Size=11.0 Color=0 | 'AI'
